source_package,run_id,source_file,source_sha256,game_date_raw,game_date,decision,reason
FL_01/V3_raw_export_20260920_162508,FL_01,比利时_1836-01-01_FL_01_快低_James.v3,D43674B49A8BE4B22963A90270EDDA96A6116B45616E4B77BFF1A1F839A3837E,1836.1.1,1836-01-01,included,
FL_01/V3_raw_export_20260920_162508,FL_01,比利时_1837-01-01_FL_01_快低_James.v3,C27052C089599104BC3A23E9E9F12507C60F5FD432DB4CDEA53970D4B1ACFAA4,1837.1.1,1837-01-01,included,
FL_01/V3_raw_export_20260920_162508,FL_01,比利时_1838-01-01_FL_01_快低_James.v3,9F5C4748F28DA9F078F866BF6720ADB75F6DFDA62FE1C7EE60D172F2EADBDBE2,1838.1.1,1838-01-01,included,
FL_01/V3_raw_export_20260920_162508,FL_01,比利时_1839-01-01_FL_01_快低_James.v3,A0FA4A8DC36E079291705FE165B1318AF1A553F8C5108CC67378EA8C1887E862,1839.1.1,1839-01-01,included,
FL_01/V3_raw_export_20260920_162508,FL_01,比利时_1840-01-01_FL_01_快低_James.v3,5DBC1A8F2A19A23D75B7AEEF5CF46737CD49FC95E706D2C2F8E552794FEC49BA,1840.1.1,1840-01-01,included,
SL_01/V3_raw_export_20260920_150733,SL_01,autosave.v3,3D9F13E42219CBB494C9EA09DA2DC8AC68A5F78BB402E15B94A886A810CDD391,1846.1.1,1846-01-01,included,
SL_01/V3_raw_export_20260920_150733,SL_01,autosave_1.v3,D06B386F536FA9FB0EA010BCA55050E4F971F72F8A6BB74AF725E04FCEB2DF73,1845.1.1,1845-01-01,included,
SL_01/V3_raw_export_20260920_150733,SL_01,autosave_2.v3,A58F06C0C3E8958CBB138C59C84AB93C91D17946D2ED60E87B06059A06ACDA3A,1844.1.1,1844-01-01,included,
SL_01/V3_raw_export_20260920_150733,SL_01,autosave_3.v3,8AD6B942B2AD1D117DA8C0DF25582FEA8C0E82B8FEF814DAB8A31BEECD997C90,1843.1.1,1843-01-01,included,
SL_01/V3_raw_export_20260920_150733,SL_01,autosave_4.v3,2EFEAACFDBB15B7C08BC4FD69BDBFFCEE30E725AD671D47BBC11713213B8D1C3,1842.1.1,1842-01-01,included,
SL_01/V3_raw_export_20260920_150733,SL_01,autosave_exit.v3,CCCAD10C6EC2A094B34B648D3EF25A9A029B7B6621DF9DDBEE49F79796986CC1,1836.1.1,1836-01-01,included,
SL_01/V3_raw_export_20260920_150733,SL_01,比利时_1836_01_01 START.v3,CCCAD10C6EC2A094B34B648D3EF25A9A029B7B6621DF9DDBEE49F79796986CC1,1836.1.1,1836-01-01,excluded_identical_copy,Identical save SHA-256; retained SL_01/V3_raw_export_20260920_150733/autosave_exit.v3
SL_01/V3_raw_export_20260920_151919,SL_01,autosave.v3,4B6B3B2596BE87917CD94BB0A4CC5367C5F5435BA3026A771C9C0F2C8500306E,,,excluded_package,package contains failed exports; entire package excluded
SL_01/V3_raw_export_20260920_151919,SL_01,比利时_1846_04_19_LL_james_rev.v3,ECFBDA1EDE81711E794DF3CFB1F96F843763C33D519103044F1EEA435AB3716C,1846.4.19.12,1846-04-19,excluded_package,package contains failed exports; entire package excluded
SL_01/V3_raw_export_20260920_152338,SL_01,autosave.v3,7993EAF8F3CDCAF5D3FD93E8FEB29744225FAA9C7DD78CDAA88BD2173F4A857A,1848.1.1,1848-01-01,included,
SL_01/V3_raw_export_20260920_152644,SL_01,autosave.v3,6394D7AF02F88C9A9CE0489DBF5C61EA0F29AFCD4036A9587BFF0927DE1907C3,1849.1.1,1849-01-01,included,
SL_01/V3_raw_export_20260920_153358,SL_01,autosave.v3,2FDE011F61731D4733E0B784B9ED5C17D0EE49944AC5E0EA27C49081D1B594AD,1850.1.1,1850-01-01,included,
SL_01/V3_raw_export_20260920_153609,SL_01,autosave.v3,9024530C9F287C8951B46EDBD78AD43C824AEF0E56D1A053A5910552D6A8FE82,1851.1.1,1851-01-01,included,
SL_01/V3_raw_export_20260920_154417,SL_01,autosave.v3,0C7DEB86F2EBE2E802CD183B61790414EC300D2595C041310119BF4A3B8069E4,1852.1.1,1852-01-01,included,
SL_01/V3_raw_export_20260920_154838,SL_01,autosave.v3,4D70AA7D0B9FF45968982A224B7FAFDD7178356F1D8CBAE426C1FB27B1143B57,1853.1.1,1853-01-01,included,
SL_01/V3_raw_export_20260920_155538,SL_01,比利时合众国_1853_08_27_LL_james.v3,882F2C7365C1A16BB8712A55EFC8E60DAC87957EEDA28F8FDF52691BC8357113,1853.8.27,1853-08-27,included,
